,ActiveTime,InactiveTime,CreateShape,RotateShape,MoveShape,ScaleShape,DeleteFigure,RotateView,cube,pyramid,ramp,cylinder,cone,sphere,spatial_reasoning,snap_submit,puzzle_45-Degree Rotations,puzzle_Angled Silhouette,puzzle_Bird Fez,puzzle_Pi Henge,puzzle_Pyramids are Strange
47,86.678836,0.0,3,0,4,5,0,19,3,0,0,0,0,0,3.333333333333333,0,0.0,0.0,0.0,1.0,0.0
48,249.55160800000007,0.0,5,94,0,0,0,0,0,0,4,0,0,1,2.5,0,1.0,0.0,0.0,0.0,0.0
49,159.848899,0.0,7,14,0,7,3,2,0,7,0,0,0,0,2.5,0,0.0,0.0,0.0,0.0,1.0
50,212.81848500000004,394.38772,8,4,18,2,5,8,1,3,1,1,0,2,2.583333333333333,0,0.0,0.0,1.0,0.0,0.0
51,37.51255299999999,0.0,4,4,0,0,0,0,2,2,0,0,0,0,3.9166666666666665,0,0.0,1.0,0.0,0.0,0.0
52,148.693084,0.0,5,0,18,11,2,18,3,0,0,2,0,0,2.333333333333333,3,0.0,0.0,0.0,1.0,0.0
53,156.41483199999993,0.0,5,16,16,0,0,8,0,0,4,0,0,1,2.375,8,1.0,0.0,0.0,0.0,0.0
54,63.59151699999998,0.0,4,10,0,4,0,2,0,4,0,0,0,0,3.375,0,0.0,0.0,0.0,0.0,1.0
55,121.075878,0.0,4,2,13,1,1,5,1,0,0,1,1,1,3.375,0,0.0,0.0,1.0,0.0,0.0
56,78.225455,0.0,3,6,1,1,0,0,1,2,0,0,0,0,3.75,0,0.0,1.0,0.0,0.0,0.0
57,145.81729800000002,0.0,3,0,14,16,0,1,3,0,0,0,0,0,2.5,6,0.0,0.0,0.0,1.0,0.0
58,54.59958700000002,122.22941,5,8,0,0,0,5,0,0,4,0,0,1,3.875,0,1.0,0.0,0.0,0.0,0.0
59,75.339481,54.35129,4,28,0,1,0,1,0,4,0,0,0,0,3.125,0,0.0,0.0,0.0,0.0,1.0
60,174.84827899999993,86.966891,4,8,29,1,1,10,1,1,0,0,1,1,2.583333333333333,9,0.0,0.0,1.0,0.0,0.0
61,51.37584,0.0,3,4,7,1,0,4,1,2,0,0,0,0,3.5416666666666665,0,0.0,1.0,0.0,0.0,0.0
62,55.166029,0.0,3,0,8,9,0,2,3,0,0,0,0,0,3.277777777777778,0,0.0,0.0,0.0,1.0,0.0
63,111.218896,0.0,3,0,4,5,0,2,3,0,0,0,0,0,3.5,0,0.0,0.0,0.0,1.0,0.0
64,152.34884099999996,0.0,4,10,18,3,0,19,0,4,0,0,0,0,2.5,5,0.0,0.0,0.0,0.0,1.0
